branch,tensor,numel,mean_angular_step,final_cumulative_angular_step
linear_down,blocks.2.attn.proj.bias,192,0.004296169557076428,3.75914836244192
linear_down,blocks.2.attn.proj.weight,36864,0.003587527695111873,3.139086733222939
linear_down,blocks.2.attn.qkv.bias,576,0.005739855463616499,5.022373530664481
linear_down,blocks.2.attn.qkv.weight,110592,0.004031178992241567,3.5272816182114184
linear_down,blocks.2.mlp.fc1.bias,768,0.0040778085827560834,3.568082509911619
linear_down,blocks.2.mlp.fc1.weight,147456,0.004070741700740213,3.561898988147732
linear_down,blocks.2.mlp.fc2.bias,192,0.0045169642824412996,3.952343747136183
linear_down,blocks.2.mlp.fc2.weight,147456,0.004395763670327089,3.846293211536249
linear_down,blocks.3.attn.proj.bias,192,0.007065016296159961,6.181889259140007
linear_down,blocks.3.attn.proj.weight,36864,0.0036588266089425054,3.201473282824736
linear_down,blocks.3.attn.qkv.bias,576,0.0033368099210118064,2.9197086808853783
linear_down,blocks.3.attn.qkv.weight,110592,0.004040423983109262,3.535370985220652
linear_down,blocks.3.mlp.fc1.bias,768,0.003991601416042821,3.4926512390375137
linear_down,blocks.3.mlp.fc1.weight,147456,0.003963739746715822,3.4682722783763893
linear_down,blocks.3.mlp.fc2.bias,192,0.006536763987570421,5.71966848912416
linear_down,blocks.3.mlp.fc2.weight,147456,0.004377386666867562,3.830213333509164
linear_down,blocks.4.attn.proj.bias,192,0.006641035587460285,5.810906139027793
linear_down,blocks.4.attn.proj.weight,36864,0.003824609079996877,3.346532944997307
linear_down,blocks.4.attn.qkv.bias,576,0.004155530276541944,3.636088991974248
linear_down,blocks.4.attn.qkv.weight,110592,0.004049219940522898,3.5430674479575828
linear_down,blocks.4.mlp.fc1.bias,768,0.003584613231476341,3.136536577541847
linear_down,blocks.4.mlp.fc1.weight,147456,0.003956865202702,3.462257052364293
linear_down,blocks.4.mlp.fc2.bias,192,0.006340542675860709,5.547974841378164
linear_down,blocks.4.mlp.fc2.weight,147456,0.00450376542165338,3.9407947439467534
linear_down,blocks.5.attn.proj.bias,192,0.006423203810118091,5.620303333853371
linear_down,blocks.5.attn.proj.weight,36864,0.0037796207652426787,3.307168169587385
linear_down,blocks.5.attn.qkv.bias,576,0.005684343370608933,4.973800449282862
linear_down,blocks.5.attn.qkv.weight,110592,0.004093068776519117,3.5814351794542745
linear_down,blocks.5.mlp.fc1.bias,768,0.0035891066518877754,3.140468320401851
